Started at Wed Nov 13 08:26:45 CET 2024
11/13 08:26:49 - mmengine - INFO - Iter(test) [1350/2000]    eta: 0:04:12  time: 0.0838  data_time: 0.0017  memory: 17002  
Processing corruption type: glass_blur
11/13 08:27:09 - mmengine - INFO - Iter(test) [1400/2000]    eta: 0:03:53  time: 0.5136  data_time: 0.0017  memory: 17021  
11/13 08:27:18 - mmengine - INFO - Iter(test) [1450/2000]    eta: 0:03:29  time: 0.4447  data_time: 0.0017  memory: 17009  
11/13 08:27:22 - mmengine - INFO - Iter(test) [1500/2000]    eta: 0:03:05  time: 0.0808  data_time: 0.0016  memory: 720  
11/13 08:27:28 - mmengine - INFO - Iter(test) [1550/2000]    eta: 0:02:43  time: 0.0890  data_time: 0.0017  memory: 16952  
11/13 08:27:32 - mmengine - INFO - Iter(test) [1600/2000]    eta: 0:02:22  time: 0.0832  data_time: 0.0018  memory: 1600  
11/13 08:27:44 - mmengine - INFO - Iter(test) [1650/2000]    eta: 0:02:02  time: 0.0779  data_time: 0.0016  memory: 17024  
11/13 08:27:55 - mmengine - INFO - Iter(test) [1700/2000]    eta: 0:01:44  time: 0.0862  data_time: 0.0019  memory: 17015  
11/13 08:28:05 - mmengine - INFO - Iter(test) [1750/2000]    eta: 0:01:25  time: 0.0893  data_time: 0.0016  memory: 17004  
11/13 08:28:12 - mmengine - INFO - Iter(test) [1800/2000]    eta: 0:01:07  time: 0.0884  data_time: 0.0019  memory: 17004  
11/13 08:28:17 - mmengine - INFO - Iter(test) [1850/2000]    eta: 0:00:49  time: 0.0886  data_time: 0.0019  memory: 670  
11/13 08:28:25 - mmengine - INFO - Iter(test) [1900/2000]    eta: 0:00:32  time: 0.0910  data_time: 0.0017  memory: 17027  
11/13 08:28:35 - mmengine - INFO - Iter(test) [1950/2000]    eta: 0:00:16  time: 0.0822  data_time: 0.0017  memory: 17008  
11/13 08:28:43 - mmengine - INFO - Iter(test) [2000/2000]    eta: 0:00:00  time: 0.0778  data_time: 0.0014  memory: 16956  
11/13 08:28:43 - mmengine - INFO - per class results:
11/13 08:28:43 - mmengine - INFO - 
+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
|      grandstand     | 40.01 | 59.22 |
|         path        | 20.64 | 24.58 |
|        stairs       | 30.58 | 36.45 |
|        runway       | 63.09 | 91.34 |
|         case        | 40.55 | 73.09 |
|      pool table     |  90.3 | 94.52 |
|        pillow       | 51.76 |  68.3 |
|     screen door     | 64.71 | 78.88 |
|       stairway      | 22.75 | 25.44 |
|        river        |  2.33 |  3.22 |
|        bridge       | 29.17 | 31.92 |
|       bookcase      | 32.76 | 38.33 |
|        blind        | 40.94 | 49.24 |
|     coffee table    | 60.35 | 73.25 |
|        toilet       | 76.43 |  89.4 |
|        flower       | 31.07 | 37.72 |
|         book        | 37.42 | 52.84 |
|         hill        |  4.28 |  4.98 |
|        bench        | 41.85 |  47.7 |
|      countertop     | 51.08 | 73.36 |
|        stove        | 62.35 |  64.3 |
|         palm        | 41.12 | 51.36 |
|    kitchen island   | 38.31 | 70.22 |
|       computer      | 52.28 | 64.66 |
|     swivel chair    | 35.64 | 45.92 |
|         boat        | 36.61 | 39.18 |
|         bar         | 12.87 | 13.84 |
|    arcade machine   | 10.02 | 10.11 |
|        hovel        |  2.69 |  2.93 |
|         bus         | 84.77 | 87.65 |
|        towel        | 44.27 | 57.06 |
|        light        | 41.69 | 47.04 |
|        truck        | 16.89 | 19.45 |
|        tower        |  9.2  | 11.08 |
|      chandelier     | 62.26 | 77.58 |
|        awning       | 16.77 | 17.07 |
|     streetlight     | 21.94 | 28.16 |
|        booth        | 46.61 | 47.89 |
| television receiver |  48.8 | 50.82 |
|       airplane      | 31.46 | 62.17 |
|      dirt track     |  8.13 |  18.6 |
|       apparel       | 16.69 | 22.57 |
|         pole        | 15.65 |  21.9 |
|         land        | 12.16 | 16.68 |
|      bannister      |  6.62 |  9.45 |
|      escalator      |  4.9  |  5.31 |
|       ottoman       | 46.72 | 54.97 |
|        bottle       | 11.38 |  19.7 |
|        buffet       | 32.57 | 36.32 |
|        poster       |  20.6 | 25.99 |
|        stage        |  3.9  |  4.4  |
|         van         | 45.91 | 57.82 |
|         ship        | 69.92 | 76.77 |
|       fountain      |  0.0  |  0.0  |
|    conveyer belt    | 64.99 | 68.34 |
|        canopy       | 17.01 | 18.46 |
|        washer       | 62.94 | 67.09 |
|      plaything      | 27.02 | 38.38 |
|    swimming pool    | 25.11 | 30.65 |
|        stool        | 29.38 | 39.79 |
|        barrel       | 35.05 | 62.93 |
|        basket       | 28.36 | 34.62 |
|      waterfall      | 35.57 | 42.62 |
|         tent        | 82.69 | 98.12 |
|         bag         |  6.81 |  7.7  |
|       minibike      | 50.74 | 56.08 |
|        cradle       | 72.48 | 93.72 |
|         oven        | 36.02 | 41.22 |
|         ball        |  36.2 | 63.28 |
|         food        | 22.89 | 26.42 |
|         step        | 19.49 | 24.71 |
|         tank        | 27.45 | 27.81 |
|      trade name     | 17.19 | 18.99 |
|      microwave      | 35.98 | 38.98 |
|         pot         | 39.12 | 44.03 |
|        animal       | 44.75 |  45.7 |
|       bicycle       | 48.76 | 67.59 |
|         lake        | 38.66 | 63.39 |
|      dishwasher     | 65.64 | 72.92 |
|        screen       | 57.63 | 69.04 |
|       blanket       |  8.24 |  8.99 |
|      sculpture      | 29.13 |  32.6 |
|         hood        | 56.02 | 59.16 |
|        sconce       | 35.37 | 43.05 |
|         vase        |  37.3 | 54.62 |
|    traffic light    | 22.84 | 28.23 |
|         tray        |  4.09 |  5.67 |
|        ashcan       | 31.02 | 35.85 |
|         fan         | 54.39 | 67.46 |
|         pier        | 27.29 |  31.3 |
|      crt screen     |  1.61 |  4.61 |
|        plate        | 38.78 | 46.98 |
|       monitor       | 15.49 | 17.53 |
|    bulletin board   | 37.14 | 46.85 |
|        shower       |  0.0  |  0.0  |
|       radiator      | 39.22 | 52.65 |
|        glass        | 13.36 | 16.57 |
|        clock        | 19.53 | 22.36 |
|         flag        | 21.32 | 21.98 |
+---------------------+-------+-------+
11/13 14:43:27 - mmengine - INFO - Iter(test) [2000/2000]    aAcc: 79.6600  mIoU: 40.1600  mAcc: 49.7400  data_time: 0.0018  time: 0.3228
Finished processing corruption type: contrast
Processing corruption type: elastic_transform
11/13 14:43:31 - mmengine - INFO - 
------------------------------------------------------------
System environment:
    sys.platform: linux
    Python: 3.8.20 (default, Oct  3 2024, 15:24:27) [GCC 11.2.0]
    CUDA available: True
    MUSA available: False
    numpy_random_seed: 973482558
    GPU 0: Tesla V100-SXM2-32GB
    CUDA_HOME: /opt/bwhpc/common/devel/cuda/11.7
    NVCC: Cuda compilation tools, release 11.7, V11.7.99
    GCC: gcc (GCC) 8.5.0 20210514 (Red Hat 8.5.0-18)
    PyTorch: 1.13.1
    PyTorch compiling details: PyTorch built with:
  - GCC 9.3
  - C++ Version: 201402
  - Intel(R) oneAPI Math Kernel Library Version 2021.4-Product Build 20210904 for Intel(R) 64 architecture applications
  - Intel(R) MKL-DNN v2.6.0 (Git Hash 52b5f107dd9cf10910aaa19cb47f3abf9b349815)
  - OpenMP 201511 (a.k.a. OpenMP 4.5)
  - LAPACK is enabled (usually provided by MKL)
  - NNPACK is enabled
  - CPU capability usage: AVX2
  - CUDA Runtime 11.7
  - NVCC architecture flags: -gencode;arch=compute_37,code=sm_37;-gencode;arch=compute_50,code=sm_50;-gencode;arch=compute_60,code=sm_60;-gencode;arch=compute_61,code=sm_61;-gencode;arch=compute_70,code=sm_70;-gencode;arch=compute_75,code=sm_75;-gencode;arch=compute_80,code=sm_80;-gencode;arch=compute_86,code=sm_86;-gencode;arch=compute_37,code=compute_37
  - CuDNN 8.5
  - Magma 2.6.1
  - Build settings: BLAS_INFO=mkl, BUILD_TYPE=Release, CUDA_VERSION=11.7, CUDNN_VERSION=8.5.0, CXX_COMPILER=/opt/rh/devtoolset-9/root/usr/bin/c++, CXX_FLAGS= -fabi-version=11 -Wno-deprecated -fvisibility-inlines-hidden -DUSE_PTHREADPOOL -fopenmp -DNDEBUG -DUSE_KINETO -DUSE_FBGEMM -DUSE_QNNPACK -DUSE_PYTORCH_QNNPACK -DUSE_XNNPACK -DSYMBOLICATE_MOBILE_DEBUG_HANDLE -DEDGE_PROFILER_USE_KINETO -O2 -fPIC -Wno-narrowing -Wall -Wextra -Werror=return-type -Werror=non-virtual-dtor -Wno-missing-field-initializers -Wno-type-limits -Wno-array-bounds -Wno-unknown-pragmas -Wunused-local-typedefs -Wno-unused-parameter -Wno-unused-function -Wno-unused-result -Wno-strict-overflow -Wno-strict-aliasing -Wno-error=deprecated-declarations -Wno-stringop-overflow -Wno-psabi -Wno-error=pedantic -Wno-error=redundant-decls -Wno-error=old-style-cast -fdiagnostics-color=always -faligned-new -Wno-unused-but-set-variable -Wno-maybe-uninitialized -fno-math-errno -fno-trapping-math -Werror=format -Werror=cast-function-type -Wno-stringop-overflow, LAPACK_INFO=mkl, PERF_WITH_AVX=1, PERF_WITH_AVX2=1, PERF_WITH_AVX512=1, TORCH_VERSION=1.13.1, USE_CUDA=ON, USE_CUDNN=ON, USE_EXCEPTION_PTR=1, USE_GFLAGS=OFF, USE_GLOG=OFF, USE_MKL=ON, USE_MKLDNN=ON, USE_MPI=OFF, USE_NCCL=ON, USE_NNPACK=ON, USE_OPENMP=ON, USE_ROCM=OFF, 

    TorchVision: 0.14.1
    OpenCV: 3.4.18
    MMEngine: 0.10.5

Runtime environment:
    cudnn_benchmark: True
    mp_cfg: {'mp_start_method': 'fork', 'opencv_num_threads': 0}
    dist_cfg: {'backend': 'nccl'}
    seed: 973482558
    Distributed launcher: none
    Distributed training: False
    GPU number: 1
------------------------------------------------------------

11/13 14:43:31 - mmengine - INFO - Config:
crop_size = (
    512,
    512,
)
data_preprocessor = dict(
    bgr_to_rgb=True,
    corruption=False,
    mean=[
        123.675,
        116.28,
        103.53,
    ],
    pad_val=0,
    seg_pad_val=255,
    std=[
        58.395,
        57.12,
        57.375,
    ],
    type='SegDataPreProcessor')
data_root = 'data/ade/ADEChallengeData2016'
dataset_type = 'ADE20KDataset'
default_hooks = dict(
    checkpoint=dict(by_epoch=False, interval=16000, type='CheckpointHook'),
    logger=dict(interval=50, log_metric_by_epoch=False, type='LoggerHook'),
    param_scheduler=dict(type='ParamSchedulerHook'),
    sampler_seed=dict(type='DistSamplerSeedHook'),
    timer=dict(type='IterTimerHook'),
    visualization=dict(type='SegVisualizationHook'))
default_scope = 'mmseg'
env_cfg = dict(
    cudnn_benchmark=True,
    dist_cfg=dict(backend='nccl'),
    mp_cfg=dict(mp_start_method='fork', opencv_num_threads=0))
img_ratios = [
    0.5,
    0.75,
    1.0,
    1.25,
    1.5,
    1.75,
]
launcher = 'none'
load_from = '../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth'
log_level = 'INFO'
log_processor = dict(by_epoch=False)
model = dict(
    auxiliary_head=dict(
        align_corners=False,
        channels=256,
        concat_input=False,
        dropout_ratio=0.1,
        in_channels=1024,
        in_index=2,
        loss_decode=dict(
            loss_weight=0.4, type='CrossEntropyLoss', use_sigmoid=False),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        num_classes=150,
        num_convs=1,
        type='FCNHead'),
    backbone=dict(
        contract_dilation=True,
        depth=101,
        dilations=(
            1,
            1,
            2,
            4,
        ),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        norm_eval=False,
        num_stages=4,
        out_indices=(
            0,
            1,
            2,
            3,
        ),
        strides=(
            1,
            2,
            1,
            1,
        ),
        style='pytorch',
        type='ResNetV1c'),
    data_preprocessor=dict(
        bgr_to_rgb=True,
        corruption='elastic_transform',
        mean=[
            123.675,
            116.28,
            103.53,
        ],
        pad_val=0,
        seg_pad_val=255,
        size=(
            512,
            512,
        ),
        std=[
            58.395,
            57.12,
            57.375,
        ],
        type='SegDataPreProcessor'),
    decode_head=dict(
        align_corners=False,
        channels=512,
        dropout_ratio=0.1,
        in_channels=2048,
        in_index=3,
        loss_decode=dict(
            loss_weight=1.0, type='CrossEntropyLoss', use_sigmoid=False),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        num_classes=150,
        pool_scales=(
            1,
            2,
            3,
            6,
        ),
        type='PSPHead'),
    pretrained='open-mmlab://resnet101_v1c',
    test_cfg=dict(mode='whole'),
    train_cfg=dict(),
    type='EncoderDecoder')
norm_cfg = dict(requires_grad=True, type='SyncBN')
optim_wrapper = dict(
    clip_grad=None,
    optimizer=dict(lr=0.01, momentum=0.9, type='SGD', weight_decay=0.0005),
    type='OptimWrapper')
optimizer = dict(lr=0.01, momentum=0.9, type='SGD', weight_decay=0.0005)
param_scheduler = [
    dict(
        begin=0,
        by_epoch=False,
        end=160000,
        eta_min=0.0001,
        power=0.9,
        type='PolyLR'),
]
resume = False
test_cfg = dict(type='TestLoop')
test_dataloader = dict(
    batch_size=1,
    dataset=dict(
        data_prefix=dict(
            img_path='images/validation',
            seg_map_path='annotations/validation'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(keep_ratio=True, scale=(
                2048,
                512,
            ), type='Resize'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=False, type='DefaultSampler'))
test_evaluator = dict(
    iou_metrics=[
        'mIoU',
    ], type='IoUMetric')
test_pipeline = [
    dict(type='LoadImageFromFile'),
    dict(keep_ratio=True, scale=(
        2048,
        512,
    ), type='Resize'),
    dict(reduce_zero_label=True, type='LoadAnnotations'),
    dict(type='PackSegInputs'),
]
train_cfg = dict(
    max_iters=160000, type='IterBasedTrainLoop', val_interval=16000)
train_dataloader = dict(
    batch_size=4,
    dataset=dict(
        data_prefix=dict(
            img_path='images/training', seg_map_path='annotations/training'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(
                keep_ratio=True,
                ratio_range=(
                    0.5,
                    2.0,
                ),
                scale=(
                    2048,
                    512,
                ),
                type='RandomResize'),
            dict(
                cat_max_ratio=0.75, crop_size=(
                    512,
                    512,
                ), type='RandomCrop'),
            dict(prob=0.5, type='RandomFlip'),
            dict(type='PhotoMetricDistortion'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=True, type='InfiniteSampler'))
train_pipeline = [
    dict(type='LoadImageFromFile'),
    dict(reduce_zero_label=True, type='LoadAnnotations'),
    dict(
        keep_ratio=True,
        ratio_range=(
            0.5,
            2.0,
        ),
        scale=(
            2048,
            512,
        ),
        type='RandomResize'),
    dict(cat_max_ratio=0.75, crop_size=(
        512,
        512,
    ), type='RandomCrop'),
    dict(prob=0.5, type='RandomFlip'),
    dict(type='PhotoMetricDistortion'),
    dict(type='PackSegInputs'),
]
tta_model = dict(type='SegTTAModel')
tta_pipeline = [
    dict(backend_args=None, type='LoadImageFromFile'),
    dict(
        transforms=[
            [
                dict(keep_ratio=True, scale_factor=0.5, type='Resize'),
                dict(keep_ratio=True, scale_factor=0.75, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.0, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.25, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.5, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.75, type='Resize'),
            ],
            [
                dict(direction='horizontal', prob=0.0, type='RandomFlip'),
                dict(direction='horizontal', prob=1.0, type='RandomFlip'),
            ],
            [
                dict(type='LoadAnnotations'),
            ],
            [
                dict(type='PackSegInputs'),
            ],
        ],
        type='TestTimeAug'),
]
val_cfg = dict(type='ValLoop')
val_dataloader = dict(
    batch_size=1,
    dataset=dict(
        data_prefix=dict(
            img_path='images/validation',
            seg_map_path='annotations/validation'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(keep_ratio=True, scale=(
                2048,
                512,
            ), type='Resize'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=False, type='DefaultSampler'))
val_evaluator = dict(
    iou_metrics=[
        'mIoU',
    ], type='IoUMetric')
vis_backends = [
    dict(type='LocalVisBackend'),
]
visualizer = dict(
    name='visualizer',
    type='SegLocalVisualizer',
    vis_backends=[
        dict(type='LocalVisBackend'),
    ])
work_dir = '../corruptions/work_dirs/ade20k/pspnet/pspnet_r101-d8_4xb4-160k_ade20k-512x512/elastic_transform'

Number of parameters:  68068492
11/13 14:43:36 - mmengine - INFO - Distributed training is not used, all SyncBatchNorm (SyncBN) layers in the model will be automatically reverted to BatchNormXd layers if they are used.
11/13 14:43:36 - mmengine - INFO - Hooks will be executed in the following order:
before_run:
(VERY_HIGH   ) RuntimeInfoHook                    
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
before_train:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_train_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(NORMAL      ) DistSamplerSeedHook                
 -------------------- 
before_train_iter:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_train_iter:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
after_train_epoch:
(NORMAL      ) IterTimerHook                      
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_val:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
before_val_epoch:
(NORMAL      ) IterTimerHook                      
 -------------------- 
before_val_iter:
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_val_iter:
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
after_val_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(BELOW_NORMAL) LoggerHook                         
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
after_val:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
after_train:
(VERY_HIGH   ) RuntimeInfoHook                    
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_test:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
before_test_epoch:
(NORMAL      ) IterTimerHook                      
 -------------------- 
before_test_iter:
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_test_iter:
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
after_test_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
after_test:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
after_run:
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
11/13 14:43:36 - mmengine - WARNING - The prefix is not set in metric class IoUMetric.
Loads checkpoint by local backend from path: ../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth
11/13 14:43:36 - mmengine - INFO - Load checkpoint from ../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth
/pfs/work7/workspace/scratch/ma_mkacar-team_project_fss2024/benchmarking_robustness/semantic_segmentation/mmsegmentation/mmseg/ops_dcnv3/modules/dcnv3.py:20: UserWarning: Now, we support DCNv4 in InternImage.
  warnings.warn('Now, we support DCNv4 in InternImage.')
/pfs/work7/workspace/scratch/ma_mkacar-team_project_fss2024/miniconda3/envs/py310/lib/python3.8/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
11/13 14:45:49 - mmengine - INFO - Iter(test) [  50/2000]    eta: 1:25:55  time: 1.8635  data_time: 0.0016  memory: 17244  
11/13 14:47:21 - mmengine - INFO - Iter(test) [ 100/2000]    eta: 1:11:12  time: 2.0141  data_time: 0.0016  memory: 17024  
11/13 14:48:32 - mmengine - INFO - Iter(test) [ 150/2000]    eta: 1:00:47  time: 1.4986  data_time: 0.0016  memory: 17018  
11/13 14:49:56 - mmengine - INFO - Iter(test) [ 200/2000]    eta: 0:56:59  time: 1.5624  data_time: 0.0016  memory: 17026  
11/13 14:51:14 - mmengine - INFO - Iter(test) [ 250/2000]    eta: 0:53:23  time: 1.3695  data_time: 0.0015  memory: 17024  
11/13 14:52:24 - mmengine - INFO - Iter(test) [ 300/2000]    eta: 0:49:51  time: 1.0763  data_time: 0.0017  memory: 17020  
11/13 14:53:44 - mmengine - INFO - Iter(test) [ 350/2000]    eta: 0:47:46  time: 1.3384  data_time: 0.0015  memory: 17024  
11/13 14:54:55 - mmengine - INFO - Iter(test) [ 400/2000]    eta: 0:45:15  time: 1.4739  data_time: 0.0015  memory: 17022  
11/13 14:55:47 - mmengine - INFO - Iter(test) [ 450/2000]    eta: 0:41:54  time: 1.0407  data_time: 0.0024  memory: 16946  
11/13 14:56:44 - mmengine - INFO - Iter(test) [ 500/2000]    eta: 0:39:23  time: 1.0056  data_time: 0.0015  memory: 17004  
11/13 14:57:47 - mmengine - INFO - Iter(test) [ 550/2000]    eta: 0:37:23  time: 1.5126  data_time: 0.0017  memory: 17024  
11/13 14:58:41 - mmengine - INFO - Iter(test) [ 600/2000]    eta: 0:35:10  time: 1.2019  data_time: 0.0017  memory: 16952  
11/13 14:59:45 - mmengine - INFO - Iter(test) [ 650/2000]    eta: 0:33:31  time: 1.4520  data_time: 0.0014  memory: 17026  
11/13 15:00:54 - mmengine - INFO - Iter(test) [ 700/2000]    eta: 0:32:07  time: 1.0640  data_time: 0.0016  memory: 17027  
11/13 15:02:03 - mmengine - INFO - Iter(test) [ 750/2000]    eta: 0:30:44  time: 1.9083  data_time: 0.0015  memory: 17029  
11/13 15:02:56 - mmengine - INFO - Iter(test) [ 800/2000]    eta: 0:28:59  time: 1.0335  data_time: 0.0016  memory: 17018  
11/13 15:03:48 - mmengine - INFO - Iter(test) [ 850/2000]    eta: 0:27:18  time: 1.0429  data_time: 0.0017  memory: 720  
11/13 15:04:39 - mmengine - INFO - Iter(test) [ 900/2000]    eta: 0:25:42  time: 1.0113  data_time: 0.0014  memory: 16943  
11/13 15:05:45 - mmengine - INFO - Iter(test) [ 950/2000]    eta: 0:24:28  time: 1.2055  data_time: 0.0016  memory: 17024  
11/13 15:06:42 - mmengine - INFO - Iter(test) [1000/2000]    eta: 0:23:05  time: 0.9823  data_time: 0.0016  memory: 17000  
11/13 15:07:46 - mmengine - INFO - Iter(test) [1050/2000]    eta: 0:21:51  time: 1.6061  data_time: 0.0016  memory: 17027  
11/13 15:08:45 - mmengine - INFO - Iter(test) [1100/2000]    eta: 0:20:34  time: 1.0043  data_time: 0.0016  memory: 17014  
11/13 15:09:40 - mmengine - INFO - Iter(test) [1150/2000]    eta: 0:19:15  time: 1.1270  data_time: 0.0015  memory: 17006  
11/13 15:10:32 - mmengine - INFO - Iter(test) [1200/2000]    eta: 0:17:57  time: 1.0062  data_time: 0.0015  memory: 1917  
11/13 15:11:26 - mmengine - INFO - Iter(test) [1250/2000]    eta: 0:16:41  time: 1.0885  data_time: 0.0015  memory: 17017  
11/13 15:12:15 - mmengine - INFO - Iter(test) [1300/2000]    eta: 0:15:25  time: 1.0306  data_time: 0.0015  memory: 1556  
11/13 15:13:09 - mmengine - INFO - Iter(test) [1350/2000]    eta: 0:14:13  time: 0.9635  data_time: 0.0015  memory: 17002  
11/13 15:14:15 - mmengine - INFO - Iter(test) [1400/2000]    eta: 0:13:07  time: 1.5003  data_time: 0.0016  memory: 17021  
11/13 15:15:08 - mmengine - INFO - Iter(test) [1450/2000]    eta: 0:11:57  time: 1.4241  data_time: 0.0016  memory: 17009  
11/13 15:15:59 - mmengine - INFO - Iter(test) [1500/2000]    eta: 0:10:47  time: 0.9614  data_time: 0.0015  memory: 720  
11/13 15:16:53 - mmengine - INFO - Iter(test) [1550/2000]    eta: 0:09:39  time: 1.0530  data_time: 0.0015  memory: 16952  
11/13 15:17:43 - mmengine - INFO - Iter(test) [1600/2000]    eta: 0:08:31  time: 1.0087  data_time: 0.0016  memory: 1600  
11/13 15:18:41 - mmengine - INFO - Iter(test) [1650/2000]    eta: 0:07:26  time: 0.9479  data_time: 0.0015  memory: 17024  
11/13 15:19:39 - mmengine - INFO - Iter(test) [1700/2000]    eta: 0:06:21  time: 1.0317  data_time: 0.0016  memory: 17015  
11/13 15:20:36 - mmengine - INFO - Iter(test) [1750/2000]    eta: 0:05:17  time: 1.0156  data_time: 0.0015  memory: 17004  
11/13 15:21:29 - mmengine - INFO - Iter(test) [1800/2000]    eta: 0:04:12  time: 1.0298  data_time: 0.0017  memory: 17004  
11/13 15:22:20 - mmengine - INFO - Iter(test) [1850/2000]    eta: 0:03:08  time: 1.0359  data_time: 0.0016  memory: 670  
11/13 15:23:12 - mmengine - INFO - Iter(test) [1900/2000]    eta: 0:02:05  time: 0.9973  data_time: 0.0015  memory: 17027  
11/13 15:24:09 - mmengine - INFO - Iter(test) [1950/2000]    eta: 0:01:02  time: 0.9901  data_time: 0.0024  memory: 17008  
11/13 15:25:02 - mmengine - INFO - Iter(test) [2000/2000]    eta: 0:00:00  time: 0.9319  data_time: 0.0014  memory: 16956  
11/13 15:25:02 - mmengine - INFO - per class results:
11/13 15:25:02 - mmengine - INFO - 
+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
+---------------------+-------+-------+
|         wall        | 62.16 | 79.21 |
|       building      | 71.45 | 88.54 |
|         sky         | 83.73 |  91.3 |
|        floor        | 66.63 |  82.1 |
|         tree        | 62.11 | 79.56 |
|       ceiling       | 68.17 | 81.44 |
|         road        | 73.62 |  85.5 |
|         bed         | 74.37 |  87.7 |
|      windowpane     |  46.7 | 64.03 |
|        grass        | 57.33 | 74.48 |
|       cabinet       | 49.86 | 65.49 |
|       sidewalk      | 50.19 |  67.2 |
|        person       | 58.61 | 76.96 |
|        earth        | 30.96 | 43.83 |
|         door        | 35.76 | 46.97 |
|        table        | 43.99 | 61.85 |
|       mountain      |  46.5 | 64.36 |
|        plant        | 41.06 | 54.44 |
|       curtain       | 47.95 | 67.09 |
|        chair        | 38.78 |  55.0 |
|         car         | 59.96 | 74.31 |
|        water        | 41.67 | 54.51 |
|       painting      | 47.13 |  65.0 |
|         sofa        | 51.58 | 71.57 |
|        shelf        | 36.45 | 56.11 |
|        house        | 24.81 | 29.07 |
|         sea         | 46.17 | 75.45 |
|        mirror       | 47.75 | 60.28 |
|         rug         | 40.11 | 48.88 |
|        field        | 23.38 | 39.77 |
|       armchair      | 30.16 | 41.12 |
|         seat        | 52.39 | 72.17 |
|        fence        | 28.12 | 40.95 |
|         desk        | 39.54 |  55.3 |
|         rock        | 27.38 | 42.92 |
|       wardrobe      | 39.81 | 53.87 |
|         lamp        |  29.0 | 43.74 |
|       bathtub       |  62.1 |  71.1 |
|       railing       | 24.89 | 40.89 |
|       cushion       | 36.11 | 49.79 |
